Joueur;Poste;Note;Variation;Buts;%Titu;Min note/but;Club;Victoire probable;%Victoire J+10;%Victoire J+14;%Victoire J+18;Clean sheet;But/Peno;But/Coup-franc;But|Surface;Pass D&but;Occas créée;Tirs;Tirs-1an;Tirs cadrés;Tirs cadrés-1an;Corners gagnés;%Passes;Ballons;Interceptions;Tacles;Duel G/P;Fautes;Buts évités;Actions stoppées;PossDef;PossMid;Centres G/P;Dégagements;Buts concédés;Ballons perdus;Passe>Tir;PassPerfo;Dépossédé;Plonge&Stop;Nb Gagné;Erreur>But;DiffButs;Gross ocaz manquée;Gross ocaz manquée-1an;Balle manquée;Bonus moy;Malus moy;Index MPGStats;Indispo ?
Biereth;A;4,86;1,03;1;86;7;Monaco;77,91;57,518;60,319;59,308;;;;;;;7;49;5;38;1;63,08;132;;3;32,73;4;;;1;2;57,14;3;7;50;2;9;7;;2;;4;2;12;10;74,06;-46,39;0,81;FALSE
Páez;MO;4,86;0,63;1;43;6;Strasbourg;18,29;52,126;51,866;51,603;2;;;;;;7;7;5;5;3;70,97;178;2;2;26,67;6;;;1;5;53,33;5;2;53;2;12;7;;3;;7;1;1;4;76,57;-74,07;-5,2;FALSE
Rouault;DC;4,83;1,51;1;100;7;Rennes;57,29;46,206;47,639;46,507;1,5;;;;;;2;9;2;5;1;89,81;487;8;5;46,81;7;;;13;7;0;28;8;44;3;6;3;;1;;-1;1;1;1;166,5;-172;-19,47;FALSE
Le Cardinal;DL;4,83;0,29;1;100;5;Brest;60,63;46,703;47,511;48,014;;;;;;;5;10;2;3;;79,12;175;3;4;61,11;2;;;4;2;0;18;7;25;1;7;;;-2;;-4;;;1;213,5;-232,67;-29,13;FALSE
Sahraoui;MO;4,8;1,3;1;0;6,5;Lille;76,08;71,844;67,073;68,927;;;;1;1;1;6;22;4;17;3;73,57;97;1;1;54,55;1;;;1;3;50;;1;30;4;2;2;;;1;3;;1;5;77,76;-48,8;1,96;FALSE
Soumano;A;4,79;1,32;1;43;6,5;Lorient;39,37;38,616;38,894;39,684;;;;;2;1;11;41;9;34;2;76,65;109;2;;38,89;7;;;2;4;0;4;4;32;4;1;9;;-2;;-7;4;6;8;78,84;-55,6;3,5;FALSE
Traoré;MD;4,75;1,08;1;100;6;Metz;32,88;31,043;30,698;29,793;2;;;;;;7;7;3;3;2;85,86;327;3;8;46,3;10;;;14;15;50;6;8;54;;8;6;;-4;;-8;1;1;13;150,25;-154,42;-11,05;FALSE
Geubbels;A;4,67;0,88;1;83;6;Paris FC;28,71;31,83;34,544;33,762;1;;;;;;12;12;5;5;3;76,9;116;;;34,21;6;;;2;4;50;3;5;30;3;3;3;;1;;;3;3;8;64,07;-44,72;3,68;FALSE
Mostafa Mohamed;A;4,67;0,98;1;100;6,5;Nantes;23,92;41,358;41,8;41,795;1,5;;;;;;10;48;4;30;1;62,62;146;6;2;41,03;7;;;4;7;50;5;4;55;3;3;9;;-2;;-2;1;6;15;71,72;-55,9;2,98;FALSE
Gbamin;DC;4,64;1,63;1;100;7;Metz;32,88;31,043;30,698;29,793;1,5;;;;;;2;3;1;1;;88,41;525;3;8;58,33;5;;;26;11;0;20;11;54;4;12;4;;-5;;-11;1;2;6;135,89;-175,64;-21,34;TRUE
Bamba;A;4,64;1,11;1;57;7;Lorient;39,37;38,616;38,894;39,684;1;;;;1;2;6;23;3;13;1;69,07;104;1;2;24,44;10;;;1;6;50;4;10;34;2;6;3;;-2;;-7;1;5;12;55,19;-33,8;2,86;FALSE
Sadibou Sané;DC;4,25;1,19;1;100;4;Metz;32,88;31,043;30,698;29,793;;;;;;;1;10;1;3;;90,08;290;8;9;53,85;6;;;10;2;0;21;9;25;;8;;;-4;;-8;;;2;158,4;-234,5;-25,95;FALSE
Peter;A;4,25;0,99;1;83;6;Angers;22,09;31,169;32,475;32,021;;;;;;;9;9;7;7;1;64,8;138;;1;47,06;6;;;1;7;0;2;9;46;3;5;4;;-2;;-7;4;4;21;61,28;-61,8;3,47;FALSE
Diallo;A;4,13;1,31;1;100;6;Metz;32,88;31,043;30,698;29,793;1,5;;;;;;7;7;6;6;1;73,13;98;1;;36,73;6;;;;3;50;5;8;34;2;5;7;;-2;;-6;1;1;11;75,78;-89,5;5,83;FALSE
Anthony Lopes;G;6,29;1,04;0;100;;Nantes;23,92;41,358;41,8;41,795;2;;;;;;;;;;;NaN;;;;80;;23;6;;;0;11;5;;;;;17;-2;;-2;;;;162,29;-37,14;24,97;FALSE
Barco;DL;6,14;1,07;0;86;;Strasbourg;18,29;52,126;51,866;51,603;3;;;;1;4;5;15;3;9;4;84,97;503;4;12;63,64;5;;;20;14;55,56;4;6;80;8;9;5;;3;;7;1;1;7;239,57;-110,71;-7,5;FALSE
Dante;DC;6;0;0;100;7;Nice;36,79;44,669;46,073;47,603;1;;;;;;2;8;2;6;;93,55;74;2;1;60;1;;;2;1;0;3;;5;;1;;;1;;1;;1;1;166,5;-60;0,9;TRUE
Johnsson;G;6;0;0;100;;Strasbourg;18,29;52,126;51,866;51,603;1;;;;;;;;;;;NaN;;;;100;;2;;;;0;3;;;;;;;1;;1;;;;100;;23,5;FALSE
Satriano;A;6;0;0;100;6;Lyon;63,21;62,089;62,786;62,191;1;;;;1;2;4;6;3;3;2;95,46;51;1;;33,33;4;;;;;66,67;1;2;5;3;1;;;;;;;;2;139,85;-32,25;0,4;FALSE
Camara;MD;5,9;0,42;0;80;6,5;Monaco;77,91;57,518;60,319;59,308;1;;;;3;4;4;24;1;15;;82,92;307;6;2;55,56;4;;;6;19;55,56;;3;57;9;8;1;;3;;6;;1;12;226,8;-119,7;-14,46;TRUE
Maxime Lopez;MO;5,86;1,25;0;100;;Paris FC;28,71;31,83;34,544;33,762;2;;;;2;7;5;29;5;19;4;92,55;681;1;6;27,78;12;;;10;20;58,06;2;11;76;21;8;5;;;1;-1;;;8;215,79;-128,43;-10,21;FALSE
Risser;G;5,86;0,94;0;100;;Lens;71,29;60,74;60,25;60,218;2;;;;;;;;;;;NaN;;;;100;;14;4;;;0;4;6;;;;;11;2;;4;;;;117,86;-32,86;5,67;FALSE
Rulli;G;5,75;0,76;0;100;;Marseille;78,6;66,907;65,096;64,196;2;;;;;;;;;;;NaN;;;;100;;7;9;;;0;6;5;;;;;8;2;;6;;;;124;-35;-0,87;FALSE
Lepenant;MD;5,75;0,82;0;100;6;Nantes;23,92;41,358;41,8;41,795;1;;;;1;2;6;22;3;13;;83,75;313;5;16;61,64;3;;;11;18;50;7;5;58;8;13;5;;-2;;-2;;;8;188,25;-103,5;-7,55;TRUE
Cho;A;5,67;0,58;0;67;6;Nice;36,79;44,669;46,073;47,603;2;;;;2;2;1;27;1;16;5;91,71;68;;;32;1;;;3;5;54,55;;;18;6;5;3;;-1;;-3;;3;9;107,67;-33,63;-1,3;FALSE
Greif;G;5,67;1,04;0;100;;Lyon;63,21;62,089;62,786;62,191;2;;;;;;;;;;;NaN;;;;100;;7;;;;0;3;2;;;;;3;1;;1;;;;108,67;-26,67;9,67;FALSE
Sarr;DC;5,64;0,56;0;100;;Lens;71,29;60,74;60,25;60,218;1,5;;;;;;4;9;2;5;3;84,51;409;15;7;70,83;3;;;14;11;50;40;6;45;;11;1;;2;;4;1;1;1;173,31;-102,79;-3,27;FALSE
Descamps;G;5,63;1,8;0;100;;Lyon;63,21;62,089;62,786;62,191;3;;;;;;;;;;;NaN;;;;0;;6;4;;;0;3;3;;;;;7;2;;3;;;;124,75;-65;-0,55;TRUE
Hernández;DL;5,63;0,48;0;100;7;Paris;81,71;86,587;84,868;85,501;4;;;;;;3;6;2;4;1;92,51;335;4;;50;6;;;6;7;0;7;;24;2;1;2;;3;;5;;;1;137,88;-78;-7,68;FALSE
Alexsandro Ribeiro;DC;5,63;1,44;0;100;7,5;Lille;76,08;71,844;67,073;68,927;1;;;;;;3;21;2;9;;89,26;337;9;4;67,74;5;;;14;8;100;20;4;36;;3;;;3;;8;;1;6;180,25;-111;-9,65;TRUE
Balerdi;DC;5,58;0,38;0;83;5,5;Marseille;78,6;66,907;65,096;64,196;1;;;;;;7;21;4;10;2;93,28;444;6;7;69,39;4;;;7;8;50;26;5;26;1;5;1;;2;;6;2;4;3;165,17;-105;-4,77;FALSE
Samba;G;5,57;1,3;0;100;;Rennes;57,29;46,206;47,639;46,507;2;;;;;;;;;;;NaN;;;;100;;12;7;;;0;5;9;;;;;10;1;;-1;;;;131,43;-64,29;-13,17;FALSE
Félix Correia;MO;5,57;1,51;0;86;;Lille;76,08;71,844;67,073;68,927;1;;;;3;4;7;7;5;5;7;76,92;256;7;3;48,65;3;;;9;7;56,76;3;8;56;8;15;6;;1;1;4;3;3;4;164,21;-93,79;-3,06;FALSE
Meunier;DL;5,5;0;0;100;6;Lille;76,08;71,844;67,073;68,927;1;;;;;1;4;24;2;16;4;84,21;153;4;1;36,36;2;;;3;6;50;5;2;21;1;2;1;;2;;7;;;1;146;-104,17;-9,1;FALSE
